begin_date,type,paperless_billing,pay_mentmethod,monthly_charges,total_charges,senior_citizen,partner,dependents,internet_service,online_security,online_backup,device_protection,tech_support
2014-07-01,One year,Yes,Bank transfer (automatic),49.35,3321.35,0,No,No,DSL,Yes,No,Yes,Yes
2015-09-01,One year,Yes,Bank transfer (automatic),51.8,2541.25,0,Yes,Yes,DSL,No,Yes,No,No
2019-09-01,Month-to-month,Yes,Electronic check,69.8,69.8,0,No,No,Fiber optic,No,No,No,No
2014-06-01,Two year,Yes,Credit card (automatic),103.25,7074.4,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No
2018-06-01,Month-to-month,Yes,Electronic check,94.45,1511.2,1,No,No,Fiber optic,No,No,No,Yes
2019-06-01,Month-to-month,No,Electronic check,75.6,535.55,0,No,No,Fiber optic,No,Yes,No,No
2018-02-01,One year,Yes,Electronic check,58.35,1346.9,0,Yes,No,DSL,Yes,No,No,Yes
2018-09-01,Month-to-month,Yes,Bank transfer (automatic),106.65,1672.1,0,No,No,Fiber optic,Yes,Yes,Yes,Yes
2019-09-01,Month-to-month,No,Mailed check,34.25,139.35,0,No,No,DSL,Yes,No,No,Yes
2015-10-01,Month-to-month,Yes,Electronic check,109.1,5647.95,1,Yes,No,Fiber optic,Yes,Yes,Yes,No
2016-05-01,Month-to-month,Yes,Electronic check,99.8,4259.3,1,Yes,No,Fiber optic,No,No,Yes,No
2014-06-01,Two year,No,Bank transfer (automatic),25.5,1821.8,0,No,No,,,,,
2017-03-01,Month-to-month,No,Electronic check,62.65,2274.9,0,Yes,No,DSL,Yes,Yes,No,Yes
2015-07-01,One year,Yes,Electronic check,94.75,5276.1,0,Yes,No,Fiber optic,Yes,No,No,No
2018-06-01,Two year,No,Mailed check,20.05,400.0,0,Yes,Yes,,,,,
2019-11-01,Month-to-month,Yes,Electronic check,30.4,78.65,1,No,No,DSL,No,No,Yes,No
2018-09-01,Month-to-month,Yes,Bank transfer (automatic),80.5,1336.9,0,Yes,No,Fiber optic,No,Yes,No,No
2017-08-01,Month-to-month,No,Electronic check,84.95,2169.75,1,Yes,No,Fiber optic,No,Yes,No,No
2019-10-01,Month-to-month,No,Mailed check,60.1,60.1,0,No,No,DSL,No,Yes,No,Yes
2014-04-01,Two year,Yes,Bank transfer (automatic),114.95,7711.25,0,No,No,Fiber optic,Yes,Yes,Yes,Yes
2019-04-01,Month-to-month,No,Electronic check,83.9,497.55,0,No,No,Fiber optic,No,No,Yes,No
2017-10-01,Month-to-month,Yes,Bank transfer (automatic),55.65,1400.55,0,No,No,DSL,Yes,No,No,No
2016-11-01,Month-to-month,Yes,Bank transfer (automatic),100.5,3653.35,1,Yes,No,Fiber optic,Yes,Yes,No,Yes
2017-01-01,Month-to-month,No,Electronic check,36.65,1315.0,1,No,No,DSL,No,Yes,Yes,No
2019-12-01,Month-to-month,No,Bank transfer (automatic),29.05,44.75,0,Yes,Yes,DSL,No,No,No,Yes
2019-09-01,Month-to-month,No,Mailed check,19.95,107.05,0,No,No,,,,,
2014-06-01,Two year,Yes,Credit card (automatic),103.75,7039.45,0,Yes,Yes,Fiber optic,No,Yes,No,Yes
2019-10-01,Month-to-month,Yes,Electronic check,78.5,242.05,0,No,No,Fiber optic,No,No,No,No
2019-08-01,Month-to-month,No,Credit card (automatic),78.65,483.3,0,No,No,DSL,Yes,No,Yes,Yes
2020-01-01,Month-to-month,No,Mailed check,45.15,45.15,0,No,No,DSL,No,No,No,No
2014-03-01,Month-to-month,Yes,Credit card (automatic),102.95,6886.25,0,No,No,Fiber optic,Yes,Yes,Yes,No
2018-05-01,Month-to-month,No,Mailed check,20.0,417.7,0,No,No,,,,,
2015-05-01,Two year,Yes,Credit card (automatic),74.3,4166.35,0,No,No,DSL,Yes,Yes,Yes,Yes
2019-03-01,Month-to-month,Yes,Electronic check,82.9,880.05,1,Yes,No,Fiber optic,No,No,No,Yes
2018-01-01,One year,No,Mailed check,53.65,1355.45,0,Yes,Yes,DSL,No,Yes,Yes,No
2016-09-01,One year,Yes,Electronic check,51.35,2075.1,0,No,No,DSL,No,No,Yes,No
2014-06-01,Two year,No,Bank transfer (automatic),19.95,1377.7,0,Yes,Yes,,,,,
2014-02-01,Two year,No,Bank transfer (automatic),69.85,5102.35,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes
2014-08-01,Month-to-month,No,Electronic check,63.85,4264.6,0,Yes,No,DSL,No,No,No,Yes
2016-08-01,One year,Yes,Bank transfer (automatic),105.2,4599.15,1,Yes,No,Fiber optic,Yes,No,Yes,No
2019-05-01,Month-to-month,No,Bank transfer (automatic),20.15,238.15,0,No,No,,,,,
2014-02-01,Two year,Yes,Bank transfer (automatic),83.7,6096.9,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes
2018-06-01,One year,No,Bank transfer (automatic),76.0,1588.75,0,Yes,Yes,DSL,Yes,No,No,No
2017-03-01,One year,Yes,Bank transfer (automatic),81.6,2815.25,1,Yes,No,Fiber optic,No,No,Yes,No
2019-07-01,Month-to-month,Yes,Electronic check,96.6,291.9,0,No,No,Fiber optic,No,No,No,No
2016-02-01,Two year,No,Bank transfer (automatic),26.3,1245.05,0,Yes,Yes,,,,,
2017-08-01,Month-to-month,Yes,Electronic check,103.3,2890.65,1,No,No,Fiber optic,No,No,Yes,Yes
2019-09-01,Month-to-month,Yes,Electronic check,70.15,268.35,0,No,No,Fiber optic,No,No,No,No
2020-01-01,One year,No,Mailed check,19.65,19.65,0,Yes,Yes,,,,,
2017-05-01,Month-to-month,Yes,Credit card (automatic),79.85,2404.15,0,No,No,Fiber optic,No,No,No,Yes
2018-09-01,Month-to-month,Yes,Electronic check,70.15,916.75,1,Yes,No,Fiber optic,No,No,No,No
2019-06-01,Month-to-month,No,Mailed check,20.05,163.6,0,No,Yes,,,,,
2014-02-01,Two year,Yes,Electronic check,110.15,7998.8,0,Yes,No,Fiber optic,No,Yes,Yes,Yes
2015-08-01,Month-to-month,Yes,Electronic check,86.2,4524.05,0,Yes,Yes,DSL,No,Yes,Yes,Yes
2018-07-01,Month-to-month,Yes,Electronic check,94.95,1760.25,1,Yes,No,Fiber optic,No,No,No,No
2015-11-01,Two year,No,Mailed check,25.5,1281.25,0,Yes,No,,,,,
2017-03-01,Month-to-month,No,Electronic check,49.2,1701.65,0,No,No,DSL,No,No,Yes,No
2018-02-01,Month-to-month,Yes,Electronic check,100.75,2095.0,0,No,No,Fiber optic,Yes,No,No,No
2017-05-01,One year,No,Mailed check,20.6,690.25,0,Yes,Yes,,,,,
2017-09-01,Month-to-month,Yes,Mailed check,20.65,654.85,0,Yes,Yes,,,,,
2018-05-01,One year,No,Bank transfer (automatic),20.5,429.55,1,No,No,,,,,
2016-01-01,One year,No,Bank transfer (automatic),20.45,900.9,0,Yes,No,,,,,
2017-01-01,Two year,No,Mailed check,94.3,3460.95,0,Yes,No,Fiber optic,No,No,Yes,Yes
2018-02-01,Month-to-month,Yes,Credit card (automatic),70.3,1706.45,0,Yes,Yes,DSL,Yes,Yes,No,Yes
2019-09-01,Month-to-month,Yes,Credit card (automatic),75.05,256.25,1,No,No,Fiber optic,No,No,No,No
2014-04-01,Two year,Yes,Bank transfer (automatic),104.45,7349.35,1,Yes,No,Fiber optic,No,Yes,No,Yes
2015-11-01,Two year,No,Credit card (automatic),85.5,4421.95,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes
2018-03-01,One year,No,Mailed check,24.35,538.5,0,Yes,Yes,,,,,
2019-08-01,Two year,No,Mailed check,25.4,153.3,0,Yes,Yes,,,,,
2014-07-01,Two year,Yes,Credit card (automatic),25.25,1733.15,0,Yes,No,,,,,
2014-02-01,Two year,No,Credit card (automatic),67.2,4671.7,0,No,Yes,DSL,Yes,Yes,Yes,Yes
2018-03-01,Two year,Yes,Bank transfer (automatic),77.15,1759.4,0,Yes,Yes,DSL,Yes,No,Yes,Yes
2019-11-01,Month-to-month,No,Mailed check,19.75,19.75,0,No,No,,,,,
2016-06-01,One year,Yes,Credit card (automatic),99.2,4062.2,1,Yes,No,Fiber optic,No,Yes,No,Yes
2016-05-01,Month-to-month,Yes,Electronic check,97.05,4385.05,1,No,No,Fiber optic,Yes,Yes,No,Yes
2019-02-01,Two year,Yes,Bank transfer (automatic),25.4,313.0,0,Yes,Yes,,,,,
2016-07-01,One year,Yes,Credit card (automatic),104.3,4451.85,0,Yes,Yes,Fiber optic,No,No,Yes,Yes
2014-04-01,Two year,No,Bank transfer (automatic),72.95,5265.55,0,Yes,No,DSL,No,Yes,Yes,Yes
2018-08-01,Month-to-month,Yes,Electronic check,100.55,1415.55,0,No,No,Fiber optic,No,Yes,No,No
2019-11-01,Month-to-month,No,Mailed check,60.65,196.9,0,No,No,DSL,No,No,No,Yes
2016-04-01,One year,No,Electronic check,100.25,4753.85,1,Yes,No,Fiber optic,No,No,No,Yes
2016-04-01,Month-to-month,No,Bank transfer (automatic),72.8,3249.4,0,No,No,Fiber optic,No,No,No,No
2015-06-01,One year,Yes,Electronic check,80.9,4557.5,0,Yes,No,Fiber optic,No,No,No,No
2019-06-01,Month-to-month,Yes,Bank transfer (automatic),69.95,529.5,0,Yes,Yes,Fiber optic,No,No,No,No
2015-11-01,Two year,Yes,Credit card (automatic),83.85,4307.1,0,Yes,No,DSL,Yes,Yes,Yes,Yes
2019-11-01,Month-to-month,No,Electronic check,76.4,160.8,0,No,No,DSL,No,No,Yes,Yes
2019-12-01,Month-to-month,Yes,Mailed check,74.9,136.05,0,No,No,Fiber optic,No,No,No,No
2015-09-01,One year,No,Electronic check,110.5,5835.5,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes
2019-02-01,Month-to-month,Yes,Electronic check,54.3,654.5,0,No,No,DSL,No,Yes,No,Yes
2018-11-01,Month-to-month,Yes,Electronic check,85.15,1139.2,0,Yes,No,Fiber optic,No,No,No,No
2015-10-01,Month-to-month,No,Bank transfer (automatic),94.6,5025.8,0,Yes,No,Fiber optic,No,Yes,Yes,No
2019-05-01,Month-to-month,Yes,Electronic check,90.1,816.8,1,No,No,Fiber optic,No,No,Yes,No
2015-12-01,Month-to-month,Yes,Bank transfer (automatic),70.35,3454.6,1,No,No,DSL,Yes,Yes,No,No
2015-07-01,One year,Yes,Bank transfer (automatic),94.25,4867.95,0,Yes,No,Fiber optic,No,Yes,No,No
2014-01-01,One year,Yes,Credit card (automatic),78.6,5356.45,0,No,No,DSL,Yes,Yes,Yes,Yes
2016-10-01,Month-to-month,Yes,Credit card (automatic),64.1,2460.35,0,No,Yes,DSL,Yes,No,No,Yes
2017-03-01,Two year,No,Bank transfer (automatic),20.5,759.35,0,Yes,Yes,,,,,
2015-08-01,One year,Yes,Electronic check,61.0,3283.05,0,No,Yes,DSL,No,Yes,Yes,Yes
2017-06-01,One year,Yes,Credit card (automatic),104.05,3416.85,0,No,No,Fiber optic,No,Yes,Yes,No
2019-10-01,Month-to-month,No,Credit card (automatic),20.45,82.85,0,No,No,,,,,
2017-07-01,Two year,No,Bank transfer (automatic),20.4,609.1,0,No,No,,,,,
2017-07-01,Month-to-month,Yes,Electronic check,71.05,2168.15,0,No,No,DSL,No,Yes,No,Yes
2014-03-01,One year,Yes,Credit card (automatic),95.15,6770.85,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes
2019-08-01,Month-to-month,Yes,Mailed check,73.85,401.3,0,No,No,Fiber optic,No,No,No,No
2019-11-01,Month-to-month,No,Bank transfer (automatic),19.95,19.95,0,Yes,Yes,,,,,
2014-08-01,Two year,Yes,Bank transfer (automatic),61.15,4017.45,0,No,No,DSL,Yes,Yes,Yes,No
2019-12-01,Month-to-month,No,Electronic check,74.95,151.75,0,No,No,Fiber optic,No,Yes,No,No
2019-06-01,One year,Yes,Bank transfer (automatic),20.2,140.95,0,No,No,,,,,
2019-12-01,Month-to-month,Yes,Mailed check,76.4,76.4,1,Yes,No,Fiber optic,No,Yes,No,No
2016-09-01,Month-to-month,Yes,Electronic check,89.2,3645.75,0,No,No,Fiber optic,No,Yes,No,No
2016-06-01,One year,Yes,Bank transfer (automatic),20.5,865.05,0,Yes,Yes,,,,,
2014-10-01,Month-to-month,Yes,Electronic check,94.25,6081.4,1,Yes,No,Fiber optic,No,Yes,Yes,No
2019-09-01,Month-to-month,No,Credit card (automatic),64.4,316.9,0,Yes,Yes,DSL,Yes,Yes,No,Yes
2015-11-01,One year,Yes,Credit card (automatic),60.35,2896.4,0,No,No,DSL,Yes,No,Yes,Yes
2016-11-01,Two year,No,Mailed check,25.0,1004.35,0,No,Yes,,,,,
2014-02-01,Two year,Yes,Electronic check,114.9,8496.7,0,No,No,Fiber optic,Yes,Yes,Yes,Yes
2014-12-01,Two year,No,Bank transfer (automatic),20.0,1250.1,0,No,Yes,,,,,
2018-07-01,Month-to-month,Yes,Electronic check,60.6,1297.8,0,No,Yes,DSL,Yes,Yes,Yes,No
2016-05-01,Month-to-month,No,Credit card (automatic),79.9,3326.2,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes
2014-06-01,One year,Yes,Credit card (automatic),76.9,5023.0,0,No,No,DSL,Yes,Yes,Yes,No
2016-06-01,One year,Yes,Electronic check,49.05,2265.0,0,No,No,DSL,No,No,Yes,No
2014-02-01,Two year,No,Credit card (automatic),66.75,4760.3,0,Yes,Yes,DSL,Yes,Yes,No,Yes
2019-06-01,Month-to-month,No,Credit card (automatic),53.85,259.8,0,No,No,DSL,Yes,No,No,Yes
2018-01-01,Two year,No,Bank transfer (automatic),99.3,2513.5,0,No,No,Fiber optic,No,No,Yes,Yes
2016-09-01,Two year,No,Mailed check,20.15,802.35,0,No,No,,,,,
2019-05-01,Month-to-month,Yes,Electronic check,76.25,684.85,0,No,No,Fiber optic,No,No,No,No
2018-01-01,Month-to-month,Yes,Mailed check,79.0,1902.0,0,No,No,DSL,Yes,Yes,No,Yes
2017-02-01,One year,No,Bank transfer (automatic),85.85,3003.55,0,No,No,DSL,Yes,Yes,Yes,Yes
2015-12-01,Month-to-month,Yes,Bank transfer (automatic),69.75,3557.7,0,Yes,Yes,Fiber optic,No,No,No,No
2019-11-01,Two year,No,Mailed check,71.1,213.35,0,No,No,DSL,Yes,Yes,No,Yes
2015-04-01,One year,Yes,Electronic check,100.0,5509.3,1,No,No,Fiber optic,No,No,Yes,No
2017-02-01,Month-to-month,Yes,Electronic check,94.7,3512.5,0,No,Yes,Fiber optic,No,Yes,No,No
2018-12-01,Month-to-month,Yes,Credit card (automatic),96.2,1222.05,0,Yes,No,Fiber optic,Yes,No,No,Yes
2019-10-01,Month-to-month,Yes,Mailed check,70.15,70.15,0,No,No,Fiber optic,No,No,No,No
2015-10-01,One year,No,Electronic check,100.3,5244.45,0,Yes,Yes,Fiber optic,Yes,No,Yes,No
2016-05-01,Two year,No,Bank transfer (automatic),81.65,3618.7,0,No,No,DSL,Yes,No,Yes,Yes
2016-01-01,Month-to-month,Yes,Electronic check,98.35,4889.2,0,Yes,Yes,Fiber optic,No,Yes,No,No
2014-02-01,Two year,No,Credit card (automatic),88.55,6362.35,0,No,No,DSL,Yes,Yes,Yes,Yes
2016-09-01,One year,Yes,Bank transfer (automatic),109.1,4454.25,0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes
2014-08-01,One year,Yes,Bank transfer (automatic),90.55,6130.95,0,Yes,No,Fiber optic,No,Yes,Yes,Yes
2014-02-01,Two year,Yes,Credit card (automatic),97.7,6869.7,0,Yes,No,Fiber optic,No,Yes,No,No
2019-07-01,Month-to-month,No,Electronic check,28.45,131.05,1,No,No,DSL,No,Yes,No,No
2015-10-01,Month-to-month,Yes,Credit card (automatic),59.75,2934.3,0,No,No,DSL,Yes,Yes,No,No
2018-03-01,Month-to-month,Yes,Mailed check,19.5,470.2,0,No,No,,,,,
2019-01-01,Month-to-month,No,Electronic check,49.15,649.4,0,No,No,DSL,No,No,Yes,No
2020-01-01,Month-to-month,Yes,Mailed check,20.25,20.25,0,No,No,,,,,
2020-01-01,Month-to-month,No,Mailed check,51.25,51.25,0,No,No,DSL,Yes,No,No,No
2018-12-01,One year,No,Mailed check,19.75,309.35,0,Yes,Yes,,,,,
2019-06-01,Month-to-month,Yes,Electronic check,69.75,324.6,0,No,No,Fiber optic,No,No,No,No
2017-11-01,One year,No,Credit card (automatic),69.35,1927.3,0,No,No,DSL,Yes,No,Yes,Yes
2017-03-01,Two year,Yes,Electronic check,108.95,4025.5,0,No,No,Fiber optic,Yes,No,Yes,Yes
2014-12-01,Two year,Yes,Bank transfer (automatic),107.6,6912.7,0,Yes,No,Fiber optic,No,No,Yes,Yes
2020-01-01,Month-to-month,No,Mailed check,20.05,20.05,0,No,No,,,,,
2018-04-01,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,No,Yes,Fiber optic,No,Yes,No,No
2017-09-01,One year,No,Mailed check,19.85,535.05,0,No,Yes,,,,,
2016-05-01,One year,Yes,Credit card (automatic),62.55,2796.45,0,No,No,DSL,Yes,Yes,No,Yes
2018-06-01,One year,Yes,Electronic check,68.7,1416.2,0,No,No,DSL,No,Yes,No,Yes
2017-09-01,One year,No,Credit card (automatic),70.9,1964.6,0,No,No,DSL,No,Yes,Yes,No
2014-08-01,One year,No,Bank transfer (automatic),108.1,7238.6,1,No,No,Fiber optic,No,Yes,Yes,No
2019-12-01,Month-to-month,No,Credit card (automatic),80.55,188.1,0,No,Yes,Fiber optic,Yes,No,No,No
2015-10-01,Two year,No,Bank transfer (automatic),21.0,1107.2,0,No,No,,,,,
2015-09-01,Two year,No,Mailed check,24.6,1279.0,0,No,No,,,,,
2019-02-01,Month-to-month,Yes,Bank transfer (automatic),79.35,661.25,0,Yes,Yes,Fiber optic,No,No,Yes,No
2018-06-01,Month-to-month,Yes,Electronic check,99.4,1742.95,0,Yes,No,Fiber optic,Yes,No,No,No
2019-02-01,Month-to-month,Yes,Electronic check,81.45,912.0,0,No,No,Fiber optic,No,No,No,No
2017-10-01,One year,No,Credit card (automatic),18.25,534.7,0,No,No,,,,,
2019-07-01,Month-to-month,Yes,Bank transfer (automatic),44.65,322.5,0,No,No,DSL,No,No,No,No
2019-05-01,Month-to-month,No,Mailed check,94.5,575.45,0,No,Yes,Fiber optic,No,No,Yes,No
2017-12-01,Month-to-month,Yes,Bank transfer (automatic),44.65,1156.55,0,No,No,DSL,Yes,Yes,No,No
2019-08-01,Month-to-month,Yes,Credit card (automatic),49.05,91.1,0,No,No,DSL,No,Yes,No,No
2019-12-01,One year,No,Bank transfer (automatic),20.5,38.25,0,No,Yes,,,,,
2019-12-01,Month-to-month,Yes,Mailed check,74.25,74.25,0,No,No,Fiber optic,No,No,No,No
2014-02-01,Two year,No,Bank transfer (automatic),19.4,1496.45,0,Yes,No,,,,,
2018-07-01,Month-to-month,Yes,Bank transfer (automatic),78.7,1495.1,0,No,No,Fiber optic,No,No,No,No
2015-05-01,Two year,Yes,Electronic check,84.5,4845.4,0,Yes,Yes,DSL,Yes,No,Yes,Yes
2014-04-01,One year,No,Bank transfer (automatic),79.4,5528.9,0,Yes,No,DSL,Yes,Yes,Yes,Yes
2019-05-01,Month-to-month,No,Mailed check,20.4,184.1,0,No,Yes,,,,,
2019-10-01,Month-to-month,Yes,Electronic check,80.15,319.85,0,No,No,Fiber optic,Yes,No,No,No
2018-10-01,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,0,No,No,DSL,No,Yes,Yes,No
2017-07-01,One year,Yes,Electronic check,64.0,1910.75,0,Yes,No,DSL,Yes,No,No,Yes
2017-03-01,Month-to-month,No,Credit card (automatic),91.0,3180.5,1,No,No,Fiber optic,Yes,No,No,No
2019-12-01,Month-to-month,Yes,Mailed check,72.6,154.3,1,No,No,Fiber optic,No,No,No,No
2014-07-01,Two year,No,Credit card (automatic),50.9,3281.65,0,Yes,Yes,DSL,Yes,No,No,No
2015-02-01,Two year,Yes,Electronic check,95.25,5464.65,0,No,No,Fiber optic,No,No,Yes,No
2016-12-01,Month-to-month,Yes,Electronic check,85.7,3171.15,1,Yes,No,Fiber optic,No,No,No,No
2014-03-01,Two year,No,Electronic check,90.1,6310.9,0,Yes,No,DSL,Yes,Yes,Yes,Yes
2019-10-01,Month-to-month,Yes,Electronic check,69.95,69.95,1,No,No,Fiber optic,No,No,No,No
2019-08-01,Month-to-month,No,Mailed check,45.85,81.0,0,No,No,DSL,No,No,No,No
2016-10-01,Two year,Yes,Bank transfer (automatic),20.6,827.3,0,No,No,,,,,
2014-08-01,Two year,Yes,Bank transfer (automatic),85.9,5595.3,0,Yes,No,DSL,Yes,Yes,Yes,Yes
2014-02-01,Two year,Yes,Credit card (automatic),113.65,8124.2,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes
2014-02-01,Two year,No,Credit card (automatic),24.75,1859.1,0,Yes,Yes,,,,,
2018-09-01,Month-to-month,No,Credit card (automatic),90.45,1266.1,1,No,No,Fiber optic,No,No,No,No
2016-10-01,Month-to-month,No,Electronic check,75.25,3017.65,0,No,No,Fiber optic,No,No,No,No
2015-04-01,Month-to-month,Yes,Electronic check,98.8,5617.75,1,No,No,Fiber optic,Yes,No,No,No
2019-10-01,Month-to-month,Yes,Electronic check,25.1,25.1,1,No,No,DSL,No,No,No,No
2019-09-01,Month-to-month,Yes,Electronic check,80.85,356.1,0,Yes,Yes,Fiber optic,No,No,No,No
2019-01-01,Month-to-month,No,Credit card (automatic),19.45,232.1,0,No,No,,,,,
2018-08-01,Month-to-month,Yes,Electronic check,89.95,1178.4,0,No,No,Fiber optic,No,No,No,Yes
2019-02-01,Month-to-month,Yes,Bank transfer (automatic),80.7,788.8,0,No,No,Fiber optic,No,Yes,No,No
2017-11-01,One year,Yes,Bank transfer (automatic),110.5,2857.6,1,No,No,Fiber optic,Yes,Yes,Yes,No
2014-05-01,Two year,No,Credit card (automatic),19.8,1436.95,0,Yes,Yes,,,,,
2019-04-01,Month-to-month,No,Credit card (automatic),19.75,208.25,0,No,No,,,,,
2016-03-01,One year,Yes,Bank transfer (automatic),113.45,5317.8,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes
2018-08-01,Two year,No,Credit card (automatic),25.3,454.65,0,No,Yes,,,,,
2019-07-01,Month-to-month,Yes,Electronic check,44.4,265.8,1,No,No,DSL,No,Yes,No,Yes
2017-07-01,Two year,No,Mailed check,25.75,755.6,0,Yes,Yes,,,,,
2019-05-01,Month-to-month,Yes,Mailed check,51.0,354.05,0,No,No,DSL,Yes,No,No,No
2019-12-01,Month-to-month,No,Bank transfer (automatic),44.9,111.05,0,No,No,DSL,No,No,No,No
2020-01-01,Month-to-month,No,Electronic check,74.0,74.0,0,No,No,Fiber optic,No,No,No,Yes
2019-12-01,Month-to-month,Yes,Mailed check,69.1,69.1,0,Yes,Yes,Fiber optic,No,No,No,No
2019-12-01,Month-to-month,No,Mailed check,20.3,40.25,0,Yes,Yes,,,,,
2014-11-01,One year,Yes,Credit card (automatic),79.7,4786.15,0,Yes,No,DSL,Yes,Yes,No,No
2019-08-01,Month-to-month,No,Electronic check,69.65,145.15,0,No,No,Fiber optic,No,No,No,No
2019-11-01,Month-to-month,No,Mailed check,41.35,107.25,0,No,No,DSL,Yes,No,Yes,Yes
2019-11-01,Month-to-month,No,Electronic check,70.75,154.85,1,No,No,Fiber optic,No,No,No,No
2018-11-01,Month-to-month,No,Mailed check,20.05,284.3,0,Yes,Yes,,,,,
2018-06-01,One year,Yes,Bank transfer (automatic),91.0,1859.5,1,Yes,No,Fiber optic,No,No,No,No
2016-01-01,Month-to-month,No,Mailed check,85.5,4042.3,1,No,No,Fiber optic,Yes,No,No,No
2016-03-01,Two year,No,Mailed check,24.55,1160.45,0,Yes,Yes,,,,,
2014-10-01,Two year,Yes,Bank transfer (automatic),115.1,7334.05,0,No,No,Fiber optic,Yes,Yes,Yes,Yes
2017-02-01,Month-to-month,Yes,Electronic check,93.6,3366.05,0,Yes,No,Fiber optic,Yes,No,No,No
2019-03-01,Month-to-month,Yes,Electronic check,78.5,874.2,1,No,No,Fiber optic,No,No,No,No
2018-11-01,Month-to-month,Yes,Electronic check,74.95,1036.75,1,No,No,Fiber optic,No,No,No,No
2019-11-01,Month-to-month,Yes,Electronic check,45.7,45.7,0,Yes,Yes,DSL,No,No,No,No
2018-03-01,One year,No,Credit card (automatic),24.8,615.35,0,No,No,,,,,
2015-01-01,Two year,No,Mailed check,19.75,1124.2,0,No,Yes,,,,,
2019-04-01,Month-to-month,Yes,Credit card (automatic),54.5,568.2,0,No,No,DSL,Yes,No,No,No
2017-04-01,Two year,Yes,Electronic check,40.55,1325.85,0,Yes,Yes,DSL,No,No,No,Yes
2017-08-01,Month-to-month,Yes,Credit card (automatic),94.3,2679.7,0,No,No,Fiber optic,Yes,Yes,No,No
2016-09-01,Two year,No,Electronic check,78.45,3126.45,0,Yes,Yes,DSL,Yes,Yes,No,Yes
2015-02-01,Two year,Yes,Electronic check,89.55,5231.2,0,No,No,Fiber optic,No,No,Yes,No
2019-10-01,Month-to-month,Yes,Credit card (automatic),55.05,102.75,0,No,No,DSL,No,Yes,No,Yes
2018-01-01,Month-to-month,No,Electronic check,54.1,1373.0,0,Yes,No,DSL,No,Yes,No,No
2018-07-01,Month-to-month,Yes,Electronic check,76.45,1233.4,1,Yes,No,Fiber optic,No,Yes,No,No
2018-09-01,One year,No,Mailed check,20.65,330.6,1,No,No,,,,,
2014-06-01,Two year,Yes,Credit card (automatic),82.45,5646.6,0,No,No,DSL,Yes,Yes,Yes,Yes
2020-01-01,Month-to-month,No,Mailed check,24.2,24.2,0,No,Yes,DSL,No,No,No,No
2017-04-01,Month-to-month,Yes,Electronic check,98.9,2911.3,1,Yes,Yes,Fiber optic,No,No,Yes,Yes
2014-02-01,Two year,Yes,Electronic check,92.4,6786.1,0,Yes,No,DSL,Yes,Yes,Yes,Yes
2020-01-01,Month-to-month,Yes,Electronic check,24.7,24.7,0,No,Yes,DSL,No,No,No,No
2016-01-01,One year,Yes,Bank transfer (automatic),106.65,5168.1,0,No,No,Fiber optic,No,Yes,No,Yes
2020-01-01,Month-to-month,Yes,Electronic check,72.1,72.1,1,No,No,Fiber optic,No,No,No,No
2017-11-01,Month-to-month,Yes,Electronic check,81.0,1917.1,0,No,No,Fiber optic,No,No,Yes,No
2017-11-01,Month-to-month,Yes,Bank transfer (automatic),84.8,2309.55,1,Yes,No,DSL,No,Yes,Yes,Yes
2014-12-01,Two year,No,Bank transfer (automatic),23.65,1416.75,0,Yes,No,,,,,
2019-04-01,Month-to-month,Yes,Electronic check,74.65,521.1,0,No,No,DSL,No,No,No,Yes
2015-07-01,Two year,No,Mailed check,20.3,1079.05,0,Yes,Yes,,,,,
2016-06-01,One year,No,Credit card (automatic),89.15,3990.75,1,No,No,Fiber optic,No,Yes,Yes,No
2016-06-01,Month-to-month,Yes,Electronic check,85.15,3670.5,1,Yes,No,Fiber optic,Yes,Yes,No,Yes
2019-11-01,Month-to-month,Yes,Electronic check,85.0,85.0,0,No,No,Fiber optic,No,No,No,No
2019-11-01,Month-to-month,Yes,Electronic check,55.8,55.8,1,No,No,DSL,Yes,No,Yes,No
2019-07-01,One year,No,Mailed check,20.65,134.05,0,Yes,Yes,,,,,
2016-12-01,Two year,Yes,Bank transfer (automatic),60.0,2193.2,0,Yes,No,DSL,Yes,Yes,No,Yes
2015-02-01,Two year,Yes,Mailed check,61.35,3766.2,0,Yes,No,DSL,Yes,Yes,No,Yes
2018-09-01,One year,No,Mailed check,44.6,681.4,0,No,Yes,DSL,No,No,No,No
2019-09-01,Month-to-month,No,Credit card (automatic),20.35,122.0,0,No,Yes,,,,,
2018-01-01,One year,Yes,Credit card (automatic),54.75,1266.35,0,No,Yes,DSL,No,Yes,No,Yes
2018-09-01,Two year,No,Mailed check,19.15,343.45,0,No,No,,,,,
